Anchor;Angka
Axe;Tamyok
Book;Buk
Child;Piknini
Church;Soes
Cloud;Klaud
Coconut Tree;Koknat tri
Crocodile;Algida
Drum;Dram
Dugong;Dugon
Ear;Talinga
Eye;Ai
Father;Baba
Fire;Paya
Fish;Pis
Fish Hook;Pis uk
Foot;Thraik
Frog;Prog
Girl;Gel
Ground;Graun
Hand;An
Head;Ed
House;Aus
Island;Ailan
Kangaroo;Kangru
Knee;Ni
Lizard;Gwana
Mat;Mat
Moon;Mun
Mother;Ama
No;Launga
Octopus;Sugu
One;Wan
People;Pipel
Rain;Ren
Sea;Solwata
Shark;Sak
Sky;Skai
Snake;Sneik
Spear;Spiya
Spider;Spaida
Stingray;Thingari
Stone;Ston
Sun;San
Today;Tidei
Tomorrow;Thumara
Turtle;Totol
Two;Tu
Water;Wata
Wind;Win
Yam;Yam
Yes;Wa
